scenario,method,success_rate_pct,exact_match_rate_pct,normalized_match_rate_pct,count,gain_vs_raw_combined_pp
blur,adaptive_full,100.0,100.0,100.0,150,4.0
blur,adaptive_ml_only,99.333,99.333,99.333,150,3.333
blur,adaptive_no_ml,100.0,100.0,100.0,150,4.0
blur,adaptive_no_quality,100.0,100.0,100.0,150,4.0
blur,adaptive_no_roi,100.0,100.0,100.0,150,4.0
blur,adaptive_no_switch,99.333,99.333,99.333,150,3.333
blur,fixed:proposed_integral,94.667,94.667,94.667,150,-1.333
blur,raw_combined,96.0,96.0,96.0,150,0.0
blur,raw_opencv,91.333,91.333,91.333,150,-4.667
blur,raw_pyzbar,96.0,96.0,96.0,150,0.0
control,adaptive_full,100.0,100.0,100.0,50,0.0
control,adaptive_ml_only,100.0,100.0,100.0,50,0.0
control,adaptive_no_ml,100.0,100.0,100.0,50,0.0
control,adaptive_no_quality,100.0,100.0,100.0,50,0.0
control,adaptive_no_roi,100.0,100.0,100.0,50,0.0
control,adaptive_no_switch,100.0,100.0,100.0,50,0.0
control,fixed:proposed_integral,100.0,100.0,100.0,50,0.0
control,raw_combined,100.0,100.0,100.0,50,0.0
control,raw_opencv,96.0,96.0,96.0,50,-4.0
control,raw_pyzbar,100.0,100.0,100.0,50,0.0
distance_small_qr,adaptive_full,100.0,100.0,100.0,150,0.0
distance_small_qr,adaptive_ml_only,100.0,100.0,100.0,150,0.0
distance_small_qr,adaptive_no_ml,100.0,100.0,100.0,150,0.0
distance_small_qr,adaptive_no_quality,100.0,100.0,100.0,150,0.0
distance_small_qr,adaptive_no_roi,100.0,100.0,100.0,150,0.0
distance_small_qr,adaptive_no_switch,100.0,100.0,100.0,150,0.0
distance_small_qr,fixed:proposed_integral,61.333,61.333,61.333,150,-38.667
distance_small_qr,raw_combined,100.0,100.0,100.0,150,0.0
distance_small_qr,raw_opencv,95.333,95.333,95.333,150,-4.667
distance_small_qr,raw_pyzbar,100.0,100.0,100.0,150,0.0
glare,adaptive_full,100.0,100.0,100.0,150,0.0
glare,adaptive_ml_only,100.0,100.0,100.0,150,0.0
glare,adaptive_no_ml,100.0,100.0,100.0,150,0.0
glare,adaptive_no_quality,100.0,100.0,100.0,150,0.0
glare,adaptive_no_roi,100.0,100.0,100.0,150,0.0
glare,adaptive_no_switch,100.0,100.0,100.0,150,0.0
glare,fixed:proposed_integral,92.667,92.667,92.667,150,-7.333
glare,raw_combined,100.0,100.0,100.0,150,0.0
glare,raw_opencv,96.0,96.0,96.0,150,-4.0
glare,raw_pyzbar,100.0,100.0,100.0,150,0.0
low_contrast,adaptive_full,100.0,100.0,100.0,150,0.0
low_contrast,adaptive_ml_only,100.0,100.0,100.0,150,0.0
low_contrast,adaptive_no_ml,100.0,100.0,100.0,150,0.0
low_contrast,adaptive_no_quality,100.0,100.0,100.0,150,0.0
low_contrast,adaptive_no_roi,100.0,100.0,100.0,150,0.0
low_contrast,adaptive_no_switch,100.0,100.0,100.0,150,0.0
low_contrast,fixed:proposed_integral,100.0,100.0,100.0,150,0.0
low_contrast,raw_combined,100.0,100.0,100.0,150,0.0
low_contrast,raw_opencv,96.0,96.0,96.0,150,-4.0
low_contrast,raw_pyzbar,100.0,100.0,100.0,150,0.0
low_light,adaptive_full,100.0,100.0,100.0,150,0.0
low_light,adaptive_ml_only,100.0,100.0,100.0,150,0.0
low_light,adaptive_no_ml,100.0,100.0,100.0,150,0.0
low_light,adaptive_no_quality,100.0,100.0,100.0,150,0.0
low_light,adaptive_no_roi,100.0,100.0,100.0,150,0.0
low_light,adaptive_no_switch,100.0,100.0,100.0,150,0.0
low_light,fixed:proposed_integral,100.0,100.0,100.0,150,0.0
low_light,raw_combined,100.0,100.0,100.0,150,0.0
low_light,raw_opencv,96.0,96.0,96.0,150,-4.0
low_light,raw_pyzbar,100.0,100.0,100.0,150,0.0
motion_blur,adaptive_full,92.667,92.667,92.667,150,28.667
motion_blur,adaptive_ml_only,70.667,70.667,70.667,150,6.667
motion_blur,adaptive_no_ml,92.667,92.667,92.667,150,28.667
motion_blur,adaptive_no_quality,92.667,92.667,92.667,150,28.667
motion_blur,adaptive_no_roi,92.667,92.667,92.667,150,28.667
motion_blur,adaptive_no_switch,70.667,70.667,70.667,150,6.667
motion_blur,fixed:proposed_integral,56.667,56.667,56.667,150,-7.333
motion_blur,raw_combined,64.0,64.0,64.0,150,0.0
motion_blur,raw_opencv,62.667,62.667,62.667,150,-1.333
motion_blur,raw_pyzbar,57.333,57.333,57.333,150,-6.667
noise,adaptive_full,100.0,100.0,100.0,150,4.667
noise,adaptive_ml_only,100.0,100.0,100.0,150,4.667
noise,adaptive_no_ml,100.0,100.0,100.0,150,4.667
noise,adaptive_no_quality,100.0,100.0,100.0,150,4.667
noise,adaptive_no_roi,100.0,100.0,100.0,150,4.667
noise,adaptive_no_switch,100.0,100.0,100.0,150,4.667
noise,fixed:proposed_integral,100.0,100.0,100.0,150,4.667
noise,raw_combined,95.333,95.333,95.333,150,0.0
noise,raw_opencv,89.333,89.333,89.333,150,-6.0
noise,raw_pyzbar,72.0,72.0,72.0,150,-23.333
perspective,adaptive_full,100.0,100.0,100.0,150,0.0
perspective,adaptive_ml_only,100.0,100.0,100.0,150,0.0
perspective,adaptive_no_ml,100.0,100.0,100.0,150,0.0
perspective,adaptive_no_quality,100.0,100.0,100.0,150,0.0
perspective,adaptive_no_roi,100.0,100.0,100.0,150,0.0
perspective,adaptive_no_switch,100.0,100.0,100.0,150,0.0
perspective,fixed:proposed_integral,96.667,96.667,96.667,150,-3.333
perspective,raw_combined,100.0,100.0,100.0,150,0.0
perspective,raw_opencv,94.667,94.667,94.667,150,-5.333
perspective,raw_pyzbar,100.0,100.0,100.0,150,0.0
screen_artifact,adaptive_full,100.0,100.0,100.0,150,1.333
screen_artifact,adaptive_ml_only,100.0,100.0,100.0,150,1.333
screen_artifact,adaptive_no_ml,100.0,100.0,100.0,150,1.333
screen_artifact,adaptive_no_quality,100.0,100.0,100.0,150,1.333
screen_artifact,adaptive_no_roi,100.0,100.0,100.0,150,1.333
screen_artifact,adaptive_no_switch,100.0,100.0,100.0,150,1.333
screen_artifact,fixed:proposed_integral,100.0,100.0,100.0,150,1.333
screen_artifact,raw_combined,98.667,98.667,98.667,150,0.0
screen_artifact,raw_opencv,96.0,96.0,96.0,150,-2.667
screen_artifact,raw_pyzbar,49.333,49.333,49.333,150,-49.334
