severity,method,success_rate_pct,count
control,adaptive_full,100.0,50
control,adaptive_ml_only,100.0,50
control,adaptive_no_ml,100.0,50
control,adaptive_no_quality,100.0,50
control,adaptive_no_roi,100.0,50
control,adaptive_no_switch,100.0,50
control,fixed:proposed_integral,100.0,50
control,raw_combined,100.0,50
control,raw_opencv,96.0,50
control,raw_pyzbar,100.0,50
hard,adaptive_full,98.222,450
hard,adaptive_ml_only,91.778,450
hard,adaptive_no_ml,98.222,450
hard,adaptive_no_quality,98.222,450
hard,adaptive_no_roi,98.222,450
hard,adaptive_no_switch,91.778,450
hard,fixed:proposed_integral,73.778,450
hard,raw_combined,86.444,450
hard,raw_opencv,82.667,450
hard,raw_pyzbar,67.111,450
low,adaptive_full,100.0,450
low,adaptive_ml_only,100.0,450
low,adaptive_no_ml,100.0,450
low,adaptive_no_quality,100.0,450
low,adaptive_no_roi,100.0,450
low,adaptive_no_switch,100.0,450
low,fixed:proposed_integral,100.0,450
low,raw_combined,100.0,450
low,raw_opencv,96.0,450
low,raw_pyzbar,99.778,450
medium,adaptive_full,99.333,450
medium,adaptive_ml_only,98.222,450
medium,adaptive_no_ml,99.333,450
medium,adaptive_no_quality,99.333,450
medium,adaptive_no_roi,99.333,450
medium,adaptive_no_switch,98.222,450
medium,fixed:proposed_integral,93.556,450
medium,raw_combined,98.222,450
medium,raw_opencv,93.778,450
medium,raw_pyzbar,91.333,450
